fn,time,fs,spl
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_2700.wav,50.0,38400,36.337754473813085
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_2800.wav,0.0,38400,37.25114059373134
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_2800.wav,50.0,38400,36.755287924164165
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_2900.wav,0.0,38400,36.84351609493913
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_2900.wav,50.0,38400,36.37641376544825
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3000.wav,0.0,38400,36.30579239243305
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3000.wav,50.0,38400,36.960237288024686
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3100.wav,0.0,38400,37.21269159565328
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3100.wav,50.0,38400,36.60712380208633
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3200.wav,0.0,38400,37.363884110691956
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3200.wav,50.0,38400,37.843479843522246
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3300.wav,0.0,38400,31.082726822701304
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3300.wav,50.0,38400,37.29358529081202
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3400.wav,0.0,38400,37.0014055442008
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3400.wav,50.0,38400,36.48928436390664
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3500.wav,0.0,38400,36.93023070608078
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3500.wav,50.0,38400,35.96861296391516
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3600.wav,0.0,38400,36.2129634394899
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3600.wav,50.0,38400,35.484508669709214
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3700.wav,0.0,38400,35.32918041046779
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3700.wav,50.0,38400,35.933679938516875
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3800.wav,0.0,38400,35.88091062655313
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3800.wav,50.0,38400,36.67338499989339
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3900.wav,0.0,38400,35.15597405464316
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_3900.wav,50.0,38400,36.85424282816692
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4000.wav,0.0,38400,37.356364616380475
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4000.wav,50.0,38400,37.405962320012264
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4100.wav,0.0,38400,36.862703032684905
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4100.wav,50.0,38400,26.888611194519893
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4200.wav,0.0,38400,24.042871078984668
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4200.wav,50.0,38400,37.25514088059093
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4300.wav,0.0,38400,36.19808778697853
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4300.wav,50.0,38400,36.58920269749229
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4400.wav,0.0,38400,36.81424543662742
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4400.wav,50.0,38400,37.28917348693028
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4500.wav,0.0,38400,37.70108052582172
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4500.wav,50.0,38400,37.982741844096736
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4600.wav,0.0,38400,36.795562490503414
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4600.wav,50.0,38400,38.20579972510227
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4700.wav,0.0,38400,36.835573026461375
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4700.wav,50.0,38400,36.552421309968935
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4800.wav,0.0,38400,37.08278769818463
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4800.wav,50.0,38400,38.20334146298134
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4900.wav,0.0,38400,37.92808222246633
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_4900.wav,50.0,38400,35.14507611714027
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5000.wav,0.0,38400,28.988590093005595
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5000.wav,50.0,38400,35.18753198312704
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5100.wav,0.0,38400,38.120614530245575
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5100.wav,50.0,38400,38.22276460936935
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5200.wav,0.0,38400,38.34191393897916
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5200.wav,50.0,38400,37.28060598978185
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5300.wav,0.0,38400,37.094139833835285
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5300.wav,50.0,38400,39.67831979555131
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5400.wav,0.0,38400,37.9613793970482
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5400.wav,50.0,38400,38.078815410586095
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5500.wav,0.0,38400,38.780913024194746
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5500.wav,50.0,38400,37.76671049296225
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5600.wav,0.0,38400,38.58069779286761
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5600.wav,50.0,38400,33.74176637191873
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5700.wav,0.0,38400,31.299627528502896
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5700.wav,50.0,38400,37.849318087470785
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5800.wav,0.0,38400,36.25948196466676
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5800.wav,50.0,38400,38.45518238757895
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5900.wav,0.0,38400,36.762226540678355
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_5900.wav,50.0,38400,37.4114663441321
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6000.wav,0.0,38400,37.44946668698556
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6000.wav,50.0,38400,37.185616351490495
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6100.wav,0.0,38400,37.19332194528785
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6100.wav,50.0,38400,38.079534403104034
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6200.wav,0.0,38400,37.95416118712755
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6200.wav,50.0,38400,38.08188533009738
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6300.wav,0.0,38400,37.06249740344214
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6300.wav,50.0,38400,37.557062092717786
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6400.wav,0.0,38400,38.39254729873295
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6400.wav,50.0,38400,37.638949396652116
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6500.wav,0.0,38400,37.24335216446108
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6500.wav,50.0,38400,39.28076976409821
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6600.wav,0.0,38400,39.24875087368285
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6600.wav,50.0,38400,27.078717607341595
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6700.wav,0.0,38400,33.38827956147976
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6700.wav,50.0,38400,37.742007194492444
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6800.wav,0.0,38400,37.6887121769129
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6800.wav,50.0,38400,37.12419981729929
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6900.wav,0.0,38400,37.93535694246944
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_6900.wav,50.0,38400,36.83765106609087
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7000.wav,0.0,38400,36.72773758260638
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7000.wav,50.0,38400,37.15416044483085
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7100.wav,0.0,38400,37.64377196829202
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7100.wav,50.0,38400,36.48498165100458
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7200.wav,0.0,38400,37.076467558697196
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7200.wav,50.0,38400,38.54208970441334
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7300.wav,0.0,38400,38.042462357504434
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7300.wav,50.0,38400,37.68094343165774
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7400.wav,0.0,38400,39.365431282686664
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7400.wav,50.0,38400,26.789095498162965
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7500.wav,0.0,38400,27.245756326660725
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7500.wav,50.0,38400,36.341106882301226
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7600.wav,0.0,38400,38.46438721246908
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7600.wav,50.0,38400,37.444859904913145
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7700.wav,0.0,38400,36.75958294899711
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7700.wav,50.0,38400,38.66366791034638
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7800.wav,0.0,38400,38.921412034369276
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7800.wav,50.0,38400,38.4832556698996
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7900.wav,0.0,38400,38.9503841164666
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_7900.wav,50.0,38400,37.74879795370245
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8000.wav,0.0,38400,38.176216385394966
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8000.wav,50.0,38400,37.72615750312377
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8100.wav,0.0,38400,38.66798933047721
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8100.wav,50.0,38400,38.399809946636104
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8200.wav,0.0,38400,39.184532827917735
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8200.wav,50.0,38400,39.11516441252495
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8300.wav,0.0,38400,39.45234475317972
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8300.wav,50.0,38400,39.81210107128411
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8400.wav,0.0,38400,27.90383235795175
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8400.wav,50.0,38400,37.73797480096397
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8500.wav,0.0,38400,37.2226804324238
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8500.wav,50.0,38400,36.822568197745476
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8600.wav,0.0,38400,38.80656372175521
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8600.wav,50.0,38400,37.32781278214473
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8700.wav,0.0,38400,37.29433871152529
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8700.wav,50.0,38400,37.35913600090826
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8800.wav,0.0,38400,38.38439980995102
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8800.wav,50.0,38400,39.25354206024668
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8900.wav,0.0,38400,38.1795260692475
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_8900.wav,50.0,38400,37.50736402280172
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_9000.wav,0.0,38400,38.627887532211325
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_9000.wav,50.0,38400,34.948473555132544
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_9100.wav,0.0,38400,29.16120663553105
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_9100.wav,50.0,38400,35.7419434685561
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_9200.wav,0.0,38400,36.59085421668276
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_9200.wav,50.0,38400,36.768532505610196
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_9300.wav,0.0,38400,37.47252699144398
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_9300.wav,50.0,38400,36.91098919473122
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_9400.wav,0.0,38400,38.151569754010694
/home6/grosmaan/Documents/codes/test_aw/ml18_294b004_9400.wav,50.0,38400,39.2204730256189
